1	0	24	0.00000
2	0	26	0.00000
3	0	25	0.00000
4	.01	34	0.00029
5	0	21	0.00000
6	0	25	0.00000
7	.01	33	0.00030
8	.01	34	0.00029
9	.07	30	0.00233
10	.14	17	0.00823
11	.15	34	0.00441
12	.15	33	0.00454
13	.05	20	0.00250
14	.08	32	0.00250
15	.06	35	0.00171
16	0	25	0.00000
17	.04	29	0.00137
18	0	31	0.00000
19	.08	31	0.00258
20	.07	26	0.00269
21	.01	27	0.00037
22	.04	25	0.00160
23	.15	33	0.00454
24	0	30	0.00000
25	.01	19	0.00052
26	.03	30	0.00100
27	.09	33	0.00272
28	.01	19	0.00052
29	.01	32	0.00031
30	.02	24	0.00083
31	.01	33	0.00030
32	.02	24	0.00083
33	.13	20	0.00650
34	.04	16	0.00250
35	.05	19	0.00263
36	.04	24	0.00166
37	.15	30	0.00500
38	.09	21	0.00428
39	.22	34	0.00647
40	.12	31	0.00387
41	.14	30	0.00466
42	.16	32	0.00500
43	.10	13	0.00769
44	.17	30	0.00566
45	.09	2	0.04500
46	.07	20	0.00350
47	0	20	0.00000
48	.07	18	0.00388
49	.02	35	0.00057
50	.12	29	0.00413
51	.16	27	0.00592
52	.03	23	0.00130
53	.06	32	0.00187
54	.08	27	0.00296
55	.06	7	0.00857
56	.13	30	0.00433
57	.08	21	0.00380
58	.10	22	0.00454
59	.14	23	0.00608
60	.12	22	0.00545
61	.13	28	0.00464
62	.21	29	0.00724
63	.22	32	0.00687
64	.31	26	0.01192
65	.25	24	0.01041
66	.16	25	0.00640
67	.21	33	0.00636
68	.17	32	0.00531
69	.04	29	0.00137
70	.05	24	0.00208
71	.05	19	0.00263
72	.08	37	0.00216
73	.11	36	0.00305
74	0	12	0.00000
75	.11	13	0.00846
76	.12	19	0.00631
77	.20	25	0.00800
78	.20	20	0.01000
79	.25	21	0.01190
80	.09	10	0.00900
81	.10	7	0.01428
82	.14	15	0.00933
83	.04	25	0.00160
84	.05	28	0.00178
85	.31	35	0.00885
86	.24	29	0.00827
87	.11	23	0.00478
88	.12	23	0.00521
89	.10	25	0.00400
90	.06	23	0.00260
91	.23	34	0.00676
92	.06	23	0.00260
93	.12	24	0.00500
94	.36	28	0.01285
95	.55	22	0.02500
96	.46	24	0.01916
97	.16	9	0.01777
98	.52	17	0.03058
99	.11	24	0.00458
100	.18	8	0.02250
101	.25	29	0.00862
102	.21	25	0.00840
103	.04	29	0.00137
104	.12	33	0.00363
105	.12	29	0.00413
106	.09	25	0.00360
107	.11	31	0.00354
108	.05	23	0.00217
109	.28	37	0.00756
110	.07	32	0.00218
111	.09	3	0.03000
112	.14	29	0.00482
113	.26	20	0.01300
114	.07	20	0.00350
115	.02	35	0.00057
116	.15	37	0.00405
117	.14	31	0.00451
118	.11	34	0.00323
119	.11	28	0.00392
120	.13	27	0.00481
121	.31	22	0.01409
122	.35	31	0.01129
123	.29	30	0.00966
124	0	4	0.00000
125	.04	35	0.00114
126	.03	29	0.00103
127	.04	21	0.00190
128	.04	30	0.00133
129	.18	9	0.02000
130	.12	28	0.00428
131	.01	28	0.00035
132	.02	34	0.00058
133	.16	33	0.00484
134	.12	27	0.00444
135	.05	13	0.00384
136	.03	16	0.00187
137	.02	24	0.00083
138	.07	22	0.00318
139	.08	10	0.00800
140	.07	30	0.00233
141	.04	30	0.00133
142	.04	32	0.00125
143	.08	35	0.00228
144	.08	28	0.00285
145	.08	30	0.00266
146	.04	22	0.00181
147	.10	16	0.00625
148	.08	12	0.00666
149	.02	23	0.00086
150	.09	22	0.00409
151	.10	14	0.00714
152	.13	28	0.00464
153	.05	24	0.00208
154	.10	28	0.00357
155	.05	28	0.00178
156	.03	18	0.00166
157	0	38	0.00000
158	.01	31	0.00032
159	.03	26	0.00115
160	.01	19	0.00052
161	.04	25	0.00160
162	0	23	0.00000
163	.08	31	0.00258
164	.05	19	0.00263
165	.11	30	0.00366
166	.08	29	0.00275
167	.08	6	0.01333
168	.20	26	0.00769
169	.03	13	0.00230
170	.07	26	0.00269
171	.01	32	0.00031
172	.08	26	0.00307
173	.03	25	0.00120
174	.04	26	0.00153
175	0	19	0.00000
176	.04	20	0.00200
177	.07	23	0.00304
178	.12	34	0.00352
179	.25	27	0.00925
180	.05	8	0.00625
181	.09	33	0.00272
182	.09	16	0.00562
183	.13	19	0.00684
184	.17	34	0.00500
