-14.64 -10.25 2.71 -1.6
-27.21 -13.40 3.29 -4.2
-32.64 -18.63 3.10 -4.5
-29.99 -18.11 3.18 -3.7
-40.32 -31.29 3.61 -2.5
-26.50 -30.08 3.91 0.9
-28.24 -29.41 3.05 0.4
-39.63 -30.71 3.94 -2.3
-36.17 -27.75 3.52 -2.4
-33.06 -26.43 3.95 -1.7
-26.32 -17.45 3.41 -2.6
-28.82 -19.54 3.13 -3.0
-24.06 -20.14 3.19 -1.2
-27.55 -23.22 2.99 -1.4
-31.48 -24.72 3.47 -1.9
-27.92 -25.04 3.37 -0.9
-27.04 -20.83 3.55 -1.7
-21.36 -21.38 2.89 0.0
-31.68 -19.78 3.14 -3.8
-31.33 -23.44 3.57 -2.2
-24.15 -19.95 2.71 -1.6
-28.02 -21.78 3.71 -1.7
-25.41 -22.35 3.18 -1.0
-32.14 -19.17 3.26 -4.0
-19.74 -17.38 3.40 -0.7
-13.09 -11.55 3.04 -0.5
-20.52 -14.87 3.30 -1.7
-20.17 -14.38 3.06 -1.9
-22.25 -15.82 2.86 -2.2
-25.58 -16.08 3.29 -2.9
-24.92 -15.46 3.11 -3.0
-26.74 -16.27 3.17 -3.3
-20.37 -13.59 2.74 -2.5
-19.52 -14.12 3.05 -1.8
-16.86 -14.12 2.88 -0.9
-19.71 -18.60 3.35 -0.3
-24.13 -22.54 3.68 -0.4
-26.05 -21.92 3.08 -1.3
-20.03 -17.62 2.80 -0.9
-16.77 -12.38 2.98 -1.5
-20.23 -12.43 2.66 -2.9
-19.57 -11.25 3.02 -2.8
-15.40 -11.73 2.60 -1.4
-18.62 -10.30 2.24 -3.7
-16.73 -9.32 2.39 -3.1
-13.03 -11.34 3.14 -0.5
-11.46 -7.75 2.78 -1.3
-13.40 -7.79 2.49 -2.3
-7.71 -8.13 2.66 0.2
-16.45 -11.69 2.94 -1.6
-16.48 -12.41 3.05 -1.3
-19.45 -10.01 3.02 -3.1
-22.04 -9.29 2.86 -4.5
-20.41 -10.14 3.02 -3.4
-16.65 -9.77 2.86 -2.4
-6.86 -6.81 2.57 -0.0
-8.39 -8.75 2.70 0.1
-7.41 -9.21 2.97 0.6
-9.43 -10.56 2.79 0.4
-10.90 -9.51 2.57 -0.5
-11.79 -9.65 2.50 -0.9
-14.72 -9.84 2.75 -1.8
-19.94 -8.17 2.60 -4.5
-20.59 -9.45 2.63 -4.2
-16.29 -8.03 2.54 -3.3
-8.41 -9.46 2.93 0.4
-12.58 -10.31 3.07 -0.7
-18.50 -11.44 2.97 -2.4
-15.38 -11.28 2.80 -1.5
-17.17 -13.74 2.98 -1.1
-21.75 -17.52 3.19 -1.3
-26.03 -15.30 3.02 -3.6
-25.67 -16.66 3.02 -3.0
-25.21 -12.76 3.13 -4.0
-27.44 -15.33 2.68 -4.5
-11.71 -8.53 2.41 -1.3
-9.32 -7.24 2.74 -0.8
