locus3	>MG772934.1	640	1040	11	93.85	0.999392	-4.99
window11	locus3	>MG772934.1	920	1040	+	11	120	90.53	-43.91	-31.63	-32.45	0.81	1.22	-4.99	0.72	3.85	0.999392
locus37	>MG772934.1	13720	14400	11	94.58	0.999018	-4.55
window116	locus37	>MG772934.1	14280	14400	+	11	120	92.94	-37.14	-31.31	-30.76	-0.55	1.30	-4.55	0.84	3.60	0.999018
window110	locus37	>MG772934.1	13960	14080	+	11	120	92.45	-34.58	-26.39	-25.67	-0.72	1.31	-3.26	0.76	2.36	0.989244
window108	locus37	>MG772934.1	13760	13880	+	11	120	93.88	-31.96	-29.65	-29.07	-0.58	1.25	-2.25	0.93	1.98	0.977924
window109	locus37	>MG772934.1	13880	14000	+	11	120	94.58	-29.26	-27.63	-26.85	-0.78	1.27	-1.87	0.94	1.46	0.939890
window113	locus37	>MG772934.1	14120	14240	+	11	120	92.73	-36.25	-30.98	-30.19	-0.79	1.33	-2.19	0.85	1.39	0.934786
locus43	>MG772934.1	17160	17720	11	94.35	0.998997	-4.66
window133	locus43	>MG772934.1	17200	17320	+	11	120	93.82	-41.45	-36.76	-36.01	-0.75	1.17	-4.66	0.89	3.59	0.998997
window138	locus43	>MG772934.1	17520	17640	+	11	120	93.30	-31.05	-28.24	-28.16	-0.08	1.13	-2.30	0.91	1.90	0.974220
window139	locus43	>MG772934.1	17600	17720	+	11	120	94.35	-36.30	-32.38	-32.86	0.48	1.08	-2.45	0.89	1.88	0.973216
window135	locus43	>MG772934.1	17280	17400	+	11	120	93.89	-31.99	-27.64	-26.45	-1.19	1.22	-2.36	0.86	1.53	0.947288
locus20	>MG772934.1	7040	7360	11	84.80	0.998876	-3.41
window66	locus20	>MG772934.1	7080	7200	+	11	120	82.06	-31.45	-21.22	-19.49	-1.73	1.70	-3.41	0.67	3.53	0.998876
window67	locus20	>MG772934.1	7120	7240	+	11	120	81.50	-33.31	-20.67	-19.32	-1.35	1.69	-2.96	0.62	2.87	0.995968
window68	locus20	>MG772934.1	7200	7320	+	11	120	82.58	-35.70	-22.49	-22.59	0.10	1.49	-2.83	0.63	2.51	0.991980
window65	locus20	>MG772934.1	7040	7160	+	11	120	84.80	-27.18	-18.57	-17.50	-1.07	1.58	-2.38	0.68	1.72	0.963217
window69	locus20	>MG772934.1	7240	7360	+	11	120	83.58	-31.23	-20.37	-20.20	-0.17	1.48	-2.28	0.65	1.51	0.945279
locus62	>MG772934.1	25920	26960	11	98.48	0.998874	-4.93
window200	locus62	>MG772934.1	26240	26360	+	11	120	96.00	-42.56	-38.29	-39.65	1.36	1.08	-4.93	0.90	3.53	0.998874
window201	locus62	>MG772934.1	26280	26400	+	11	120	97.97	-38.32	-38.54	-38.05	-0.49	1.08	-3.95	1.01	3.49	0.998791
window207	locus62	>MG772934.1	26600	26720	+	11	120	90.09	-34.46	-27.57	-28.73	1.16	1.24	-3.69	0.80	3.22	0.997961
window196	locus62	>MG772934.1	26000	26120	+	11	120	82.89	-37.03	-26.54	-25.32	-1.23	1.41	-3.12	0.72	3.21	0.997926
window202	locus62	>MG772934.1	26320	26440	+	11	120	97.39	-37.21	-34.85	-34.27	-0.58	1.11	-3.67	0.94	3.12	0.997548
window195	locus62	>MG772934.1	25960	26080	+	11	120	83.33	-34.67	-21.84	-20.86	-0.98	1.35	-2.99	0.63	2.67	0.994153
